,,,,,,,,, Today's , Previous Day's ,,,,Market,Previous,Change,UNUSED DO NOT DELETE,,,Market,Enron,,,,,,,Previous Day, Profit & Loss Summary ,,,,,,,,,,,,,No of,,Market, Today's Profit & Loss Summary ,,,,,,,,Today's,Previous Day's, Previous Day's Profit & Loss Summary ,,,,,,,,Previous Day's,Is Security,Absolute Change in,RAROC Reset,,,,,Real-Time, Today's Delta ,,Real-Time,Last Day's,,,,,,,,,Previous QTD for Asset P&L QTD Tracking of Privates Only!,,,, Combined , Calculated 
,,Commercial,,,,,Equity,, Number of  , Number of  ,, Sector ,,Value,Market Value,Market Value,,,,Value,Company Tag,Asset,Hedge,Net,Asset,Hedge,Net,Market, Daily ,,,, QTD ,,,,12/31/99,12/29/00,YTD,Gamma,Revaluation,Underlying, Delta ,Value, MTD ,,,, YTD ,,,,Underlying,Underlying, MTD ,,,, YTD ,,,,Revaluation,Ever Priced,RAROC Value,Required,Previous Day's,Cost Basis, Cost ,Instrument,Calculated, Equivalent Shares ,Original,Underlying,Underlying,Daily,MTD,QTD,YTD,Daily,MTD,QTD,YTD, Previous QTD ,,,, Target , Combined 
Asset Class,Book,Group,Telephone #,Asset,Ticker,Sector,Type,Instrument, Shares/Units , Shares/Units ,Gamma, Beta , Delta ,Per Share,Per Share,Per Share,Do Not Delete,Do Not Delete,Do Not Delete,2/12/01,Name,Total,Total,Total,Index,Index,Index,Value, Asset P&L , Hedge P&L , Valuation P&L , Total P&L , Asset P&L , Hedge P&L , Valuation P&L , Total P&L , Pre-RAROC ,Carrying Value,P&L,Position,Carrying Value,Warrants/Share,Position,Per Underlying Share, Asset P&L , Hedge P&L , Valuation P&L , Total P&L , Asset P&L , Hedge P&L , Valuation P&L , Total P&L ,Per Share,Per Share, Asset P&L , Hedge P&L , Valuation P&L , Total P&L , Asset P&L , Hedge P&L , Valuation P&L , Total P&L ,Carrying Value,of RAROC?,Today,for Security?, Valuation P&L ,Per Share, Basis ,Type,P&L, of Underlying , Sequence ,Price Feed,Price Feed,Funding,Funding,Funding,Funding,Commitments,Commitments,Commitments,Commitments, Asset P&L , Hedge P&L , Valuation P&L , Total P&L , Beta , Beta 
Enron Raptor I - Canadian - Private,Canada Raptor,Kitagawa,403-974-6723,Invasion Energy Raptor I, ,Canada,Private,Common Equity, 1 , 1 , $-   , -   , 1.00 ," $5,538,616.88 ","5,538,616.88 ",0 ,5083-7164,100.0%,0 ," $5,538,616.88 ", 015:Enron Raptor I , $-   , $-   , $-   , $-   , $-   , $-   ," $5,538,616.88 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,0 ," $5,407,002.88 ", -   ,0 ," $5,407,002.88 ", 1.00 ," $5,538,616.88 "," $5,538,616.88 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,   ,   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $5,407,002.88 ", Y , $-   , FALSE , $-   ,0.00 , -   ,76, -   , -   , 92.00 , $-   , $-   , $-   , $-   ," $131,614.00 "," $131,614.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , -   , -   
Enron Raptor I - Canadian - Private Total,,,,,,,,,,,,,,,,,0 ,100.0%,0 ," $5,538,616.88 ",, $-   , $-   , $-   , $-   , $-   , $-   ," $5,538,616.88 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,," $5,407,002.88 ",,," $5,407,002.88 ",,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,," $131,614.00 ",,,,,,,,,,,
,Canada Raptor Total,,,,,,,,,,,,,,,,0 ,100.0%,0 ," $5,538,616.88 ",, $-   , $-   , $-   , $-   , $-   , $-   ," $5,538,616.88 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,," $5,407,002.88 ",,," $5,407,002.88 ",,,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,," $131,614.00 ",,,,,,,,,,,
Enron Raptor I - EBS Public,EBS Raptor,Garland,713-853-7301,Avici EBS Raptor I,US;AVCI,Network Equipment,Public,Common Equity," 1,092,426 "," 1,092,426 ", -   , -   , 1.00 , $23.88 ,25.06 ,(1.19),0 ,100.0%,0 ," $26,081,670.75 ", 015:Enron Raptor I , $-   , $-   , $-   , $-   , $-   , $-   ," $27,378,926.63 "," $(1,297,255.88)", $-   ," $1,297,255.88 ", $-   ," $(813,505.52)", $-   ," $813,505.52 ", $-   ,0 ," $26,925,615.25 ", -   ,0 ," $104,012,148.25 ", 1.00 ," $26,081,670.75 ", $23.88 ," $(12,699,452.25)", $-   ," $12,699,452.25 ", $-   ," $(813,505.52)", $-   ," $813,505.52 ", $-   , $23.88 , $25.06 ," $(11,402,196.38)", $-   ," $11,402,196.38 ", $-   ," $483,750.36 ", $-   ," $(483,750.36)", $-   ," $104,012,148.25 ", N , $-   , FALSE ," $(483,750.36)",3.00 ," 3,277,278.00 ",58," (1,297,255.88)", -   , 45.00 , $23.88 , $-   , $-   , $-   ," $(30,438.98)"," $(30,438.98)", $-   , $-   , $-   , $-   ," $483,750.36 ", $-   ," $(483,750.36)", $-   , -   , -   
Enron Raptor I - EBS Public Total,,,,,,,,,,,,,,,,,0 ,100.0%,0 ," $26,081,670.75 ",, $-   , $-   , $-   , $-   , $-   , $-   ," $27,378,926.63 "," $(1,297,255.88)", $-   ," $1,297,255.88 ", $-   ," $(813,505.52)", $-   ," $813,505.52 ", $-   ,," $26,925,615.25 ",,," $104,012,148.25 ",,,," $(12,699,452.25)", $-   ," $12,699,452.25 ", $-   ," $(813,505.52)", $-   ," $813,505.52 ", $-   ,,,,,,,,,,,,,,,,,,,,,,,,,," $(30,438.98)",,,,,,,,,,,
,EBS Raptor Total,,,,,,,,,,,,,,,,0 ,100.0%,0 ," $26,081,670.75 ",, $-   , $-   , $-   , $-   , $-   , $-   ," $27,378,926.63 "," $(1,297,255.88)", $-   ," $1,297,255.88 ", $-   ," $(813,505.52)", $-   ," $813,505.52 ", $-   ,," $26,925,615.25 ",,," $104,012,148.25 ",,,," $(12,699,452.25)", $-   ," $12,699,452.25 ", $-   ," $(813,505.52)", $-   ," $813,505.52 ", $-   ,,,,,,,,,,,,,,,,,,,,,,,,,," $(30,438.98)",,,,,,,,,,,
Enron Raptor I - Priv. Equity Partnerships,Energy Capital Resources Raptor,Pruett/Thompson,713-345-7109/713-853-3019,Ameritex Raptor I, ,Energy Capital Resources,Private,Partnership, 1 , 1 , -   , -   , -   ," $4,731,610.54 "," 4,731,610.54 ", -   ,3-3,100.0%,0 ," $4,731,610.54 ", 015:Enron Raptor I , $-   , $-   , $-   , $-   , $-   , $-   ," $4,731,610.54 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,0 ," $4,663,184.00 ", -   ,0 ," $4,663,184.00 ", 1.00 , $-   ," $4,731,610.54 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,   ,   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $4,663,184.00 ", Y , $-   , FALSE , $-   ,0.00 , -   ,78, -   , -   , 112.00 , $-   , $-   , $-   , $-   ," $68,426.54 "," $68,426.54 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , -   , -   
Enron Raptor I - Priv. Equity Partnerships,Energy Capital Resources Raptor,Pruett/Thompson,713-345-7109/713-853-3019,Juniper Raptor I, ,Condor - Energy Capital Resources,Private,Partnership, 1 , 1 , -   , -   , -   ," $21,605,090.00 "," 21,605,090.00 ", -   ,887-978,100.0%,0 ," $21,605,090.00 ", 015:Enron Raptor I , $-   , $-   , $-   , $-   , $-   , $-   ," $21,605,090.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,0 ," $21,605,090.00 ", -   ,0 ," $21,605,090.00 ", 1.00 , $-   ," $21,605,090.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,   ,   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $21,605,090.00 ", Y , $-   , FALSE , $-   ,0.00 , -   ,78, -   , -   , 133.00 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , -   , -   
