0,0,1/0/00,0,0.00%,,,,
Department,IT,,,,,,,0
Chief,,,,,,,,
Name,Age,Birth date,Payment,Bonus,Total,,,
Derek,35 years,2-Jan-71,3000,30.00%,3900,,,
,,,,,,,,
Employees,,,,,,,,
Name,Age,Birth Date,Payment,Bonus,Total,Superior Name,Superior Payment,
Elsa,28 years,15-Mar-80,1500,15.00%,1725,,,
Oleg,32 years,20-Aug-76,2300,25.00%,2875,John,2800,
Neil,34 years,6-Jun-68,2500,0.00%,2500,John,2800,
Maria,34 years,17-Sep-78,1700,15.00%,1955,Oleg,2300,
John,35 years,15-Mar-80,2800,20.00%,3360,,,
Employee Payment Totals:,,,10800,,12415,,7900,
,,,,,,,,
Total payment:,,,,,16315,,,
