,,,,,,,
Contact Name,Address,City,Postal Code,Country,Phone,#,T/F
Christina Berglund,Berguvsvägen  8,Luleå,S-958 22,Sweden,0921-12 34 65,1,TRUE
Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany,0621-08460,2,FALSE
Henriette Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,0221-0644327,2,FALSE
Maria Anders,Obere Str. 57,Berlin,12209,Germany,030-0074321,2,FALSE
Sergio Gutiérrez,Av. del Libertador 900,Buenos Aires,1010,Argentina,(1) 123-5555,1,TRUE
Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,(171) 555-7788,3,FALSE
Marie Bertrand,"265, blvd. Charonne",Paris,75012,France,(1) 42.34.22.66,1,TRUE
Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,(171) 555-7788,3,FALSE
Antonio Moreno,Mataderos  2312,México D.F.,5023,Mexico,(5) 555-3932,1,TRUE
Maria Anders,Obere Str. 57,Berlin,12209,Germany,030-0074321,2,FALSE
Isabel de Castro,Estrada da saúde n. 58,Lisboa,1756,Portugal,(1) 356-5634,1,TRUE
Guillermo Fernández,Calle Dr. Jorge Cash 321,México D.F.,5033,Mexico,(5) 552-3745,1,TRUE
Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,88.60.15.31,1,TRUE
Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,(171) 555-7788,3,FALSE
Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,0372-035188,1,TRUE
Georg Pipps,Geislweg 14,Salzburg,5020,Austria,6562-9722,1,TRUE
Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany,0621-08460,2,FALSE
Henriette Pfalzheim,Mehrheimerstr. 369,Köln,50739,Germany,0221-0644327,2,FALSE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
