Constituent,,,,,
,comment,Create a user,Verify group membership,Create a user,User should only have the group that was set to be a default group
,pending,,,,Bug #43856
Constituent Search ,findfirstname,,Aaaaa1,,Susan
,findlastname,,Aaaaa1,,Davis
,findemail,,,,
,findmemberid,,,,
,findusername,,,,
,findphone,,,,
,findzip,,,,
,findconstituentid,,,,
,firstname,Aaaaa1,,Susan,
,middlename,,,,
,lastname,Aaaaa1,,Davis,
,username,usera1,,user_sd_1,
,password,passa1,,pass_sd_1,
,passwordhint,,,,
,email,devnull+aaaaa1@convio.com,,devnull+user_sd_1@convio.com,
,title,,,,
,suffix,,,,
,profsuffix,,,,
,memberid,,,,
,gender,,,,
,month,,,,
,day,,,,
,year,,,,
,acceptemail,,,,
,preferredformat,,,,
,emailstatus,,,,
,street1,3405 Mulberry Creek Dr,,3405 Mulberry Creek Dr,
,street2,,,,
,city,Austin,,Austin,
,state,TX,,TX,
,zip,78732,,78732,
,country,United States,,United States,
,acceptmail,,,,
,congressional,,,,
,senate,,,,
,house,,,,
,phone,,,,
,employer,,,,
,occupation,,,,
Groups,groupmembership,BST1 PatchTest,,,
,groupfoldername,BST1,,,
Interests,emailinterests,,,,
,emailinterestfoldername,,,,
,webinterests,,,,
,webinterestfoldername,,,,
,create,nil,,nil,
,verify,nil,,nil,
,verify_admin_Congressional_District_(Automatic),21,,,
,verify_admin_State_Senate_District_(Automatic),14,,,
,verify_admin_State_House_District_(Automatic),48,,,
,verify_admin_County_(Automatic),Travis,,,
,verify_groups,,"['Any registered user',
'BST1 PatchTest',
'BST1 cars Opt Ins',
'Texas District 21',
'Texas residents',]",,"['Any registered user',
'BST1 PatchTest',
'BST1 cars Opt Ins',
'Texas District 21',
'Texas residents',]"
,verify_interests,,['BST1 cars'],,
