User,,,,
comment,Create a user and verify that the list of representatives shows the correct zip code,,,
pending,,Need to work out how to verify,,
firstname,joe,,,
lastname,smith,,,
title,,,,
suffix,,,,
profsuffix,,,,
username,user_js_1,,,
password,pass_js_1,,,
repass,pass_js_1,,,
hint,fast,,,
rememberme,,,,
email,devnull+js1@convio.com,,,
preferredformat,,,,
emailoptin,,,,
postaloptin,,,,
street1,3405 Mulberry Creek Dr,,,
street2,,,,
city,Austin,,,
state,TX,,,
zip,78732,,,
country,United States,,,
phone,,,,
create,nil,,,
repzipcode,78732-2290,,,
verify,,nil,,
