Department,IT,,,,,,,0
,,,,,,,,
Employees,,,,,,,,
Name:,Elsa,,,,,,,
Age:,28,,,,,,,
Payment:,1500.00,Bonus:,0.15,Superior Name:,,,,
Birth Date:,3/15/80,,,Superior Payment:,,,,
Total:,,,,,,,,
Name:,Oleg,,,,,,,
Age:,32,,,,,,,
Payment:,2300.00,Bonus:,0.25,Superior Name:,John,,,
Birth Date:,8/20/76,,,Superior Payment:,2800.00,,,
Total:,,,,,,,,
Name:,Neil,,,,,,,
Age:,34,,,,,,,
Payment:,2500.00,Bonus:,0.00,Superior Name:,John,,,
Birth Date:,6/6/68,,,Superior Payment:,2800.00,,,
Total:,,,,,,,,
Name:,Maria,,,,,,,
Age:,34,,,,,,,
Payment:,1700.00,Bonus:,0.15,Superior Name:,Oleg,,,
Birth Date:,9/17/78,,,Superior Payment:,2300.00,,,
Total:,,,,,,,,
Name:,John,,,,,,,
Age:,35,,,,,,,
Payment:,2800.00,Bonus:,0.20,Superior Name:,,,,
Birth Date:,3/15/80,,,Superior Payment:,,,,
Total:,,,,,,,,
,,,,,,,,
