RewardsUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,Purchase a reward using our points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linkname,BST1_REWARDS_LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username,user_sd_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
password,pass_sd_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstname,Susan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
middlename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastname,Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suffix,Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
professionalsuffix,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
email,devnull+user_sd_1@convio.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emailformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveemail  ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postalemail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rememberme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_Item_Name:,REWARD_BST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_Quantity:,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_Points_Redeemed:,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_Points_Remaining:,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_Tracking_Code:,/[A-Z]+-\d+-\d+/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_Name:,Dr. Susan Davis Sr. MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_Address:,/3405 Mulberry Creek Dr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify_Email: ,devnull+user_sd_1@convio.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
